Id,Mean,Std,Problems,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3
300,2.0,0.8544932592822077,['227 non attribué'],"[26, 16, 5, 23]",9,6,5
301,2.0078740157480315,0.8213042569076933,[],"[16, 5, 26, 23]",1,6,3
302,2.15748031496063,0.8491377218338437,[],"[16, 5, 26, 17, 23]",2,4,5
303,2.1496062992125986,0.756755188418355,[],"[5, 16, 19, 26, 23]",1,2,2
304,1.968503937007874,0.7657034101308184,[],"[16, 5, 26, 19]",2,6,0
305,2.0236220472440944,0.7914680646038975,[],"[5, 16, 26]",10,5,5
306,2.047244094488189,0.795406132824913,[],"[16, 5, 23, 26]",10,3,2
307,1.8818897637795275,0.812737615836732,['153 non attribué'],"[16, 5, 26]",12,2,1
308,1.9606299212598424,0.7807360670541613,['153 non attribué'],"[5, 16, 19, 26, 23]",10,6,3
309,1.952755905511811,0.8151177509302046,"[(5, 'Pas assez : 1<8.0')]","[16, 19, 23, 26]",3,6,7
310,2.1023622047244093,0.814887719106538,[],"[5, 16, 17, 26]",9,6,3
311,1.9133858267716533,0.8069501867677515,[],"[5, 16, 23, 26]",3,6,2
312,1.7322834645669292,0.6836969868324524,[],"[26, 16, 5, 23]",11,6,6
313,2.015748031496063,0.8355613260909056,[],"[16, 5, 23, 17, 26]",11,1,7
314,1.984251968503937,0.7764822177105523,[],"[16, 17, 5, 26]",11,6,2
315,1.8976377952755905,0.8050894229075678,[],"[5, 16, 26, 19]",11,5,2
316,2.220472440944882,0.7227964413740856,[],"[16, 5, 26]",9,0,6
317,2.118110236220472,0.7518672335977145,[],"[16, 5, 26]",7,6,5
318,2.078740157480315,0.7928880224047976,"[(19, 'Pas assez : 1<4.0')]","[16, 5, 26, 23]",3,3,1
319,2.0078740157480315,0.8497998176239778,"[(19, 'Pas assez : 1<4.0')]","[17, 5, 16, 23, 26]",9,4,1
320,1.9133858267716533,0.8263864929139035,[],"[5, 16, 26]",10,6,2
321,2.1023622047244093,0.8341390930154802,['86 non attribué'],"[5, 26, 16, 23]",10,5,6
322,2.1102362204724407,0.7890957901162905,[],"[16, 5, 26, 23]",1,1,7
323,2.125984251968504,0.786716362274655,"[(4, 'Pas assez : 2<6.0')]","[5, 16, 26, 23]",8,3,2
