Id,Choice,ChoiceWeight
58,19,1.0
62,19,3.0
87,19,2.0
124,19,2.0
151,19,3.0
59,21,1.0
123,21,1.0
146,21,3.0
149,21,1.0
281,21,2.0
26,17,2.0
29,17,2.0
30,17,3.0
40,17,1.0
55,17,1.0
77,17,2.0
160,17,2.0
258,17,2.0
262,17,1.0
22,4,2.0
231,4,2.0
100,4,3.0
136,4,3.0
119,4,2.0
91,4,2.0
153,4,2.0
85,4,2.0
179,4,2.0
180,4,3.0
222,4,3.0
183,4,3.0
48,4,3.0
248,4,3.0
11,15,1.0
257,15,1.0
31,15,2.0
46,15,1.0
212,15,1.0
65,15,2.0
2,10,2.0
6,10,2.0
19,10,3.0
33,10,2.0
88,10,2.0
52,10,3.0
53,10,2.0
66,10,2.0
67,10,3.0
118,10,2.0
147,10,1.0
251,10,1.0
272,10,3.0
25,10,3.0
74,9,2.0
278,9,3.0
10,34,3.0
13,34,2.0
16,34,3.0
32,34,3.0
36,34,2.0
41,34,2.0
49,34,2.0
86,34,1.0
14,34,1.0
116,34,1.0
4,11,1.0
21,11,3.0
34,11,1.0
35,11,2.0
45,11,1.0
56,11,2.0
63,11,2.0
76,11,1.0
78,11,3.0
114,11,3.0
139,11,3.0
173,11,2.0
176,11,2.0
8,11,2.0
261,11,1.0
7,3,3.0
37,3,3.0
38,3,3.0
79,3,2.0
148,3,1.0
5,7,3.0
221,7,3.0
9,7,3.0
264,7,3.0
17,7,2.0
161,7,2.0
44,7,3.0
279,7,3.0
50,7,1.0
90,7,3.0
115,7,3.0
60,7,3.0
117,7,3.0
280,7,3.0
145,7,2.0
159,7,3.0
24,7,3.0
169,7,3.0
256,7,3.0
73,33,2.0
229,33,3.0
223,33,3.0
18,13,2.0
102,13,2.0
72,18,3.0
106,18,1.0
39,18,1.0
12,32,2.0
23,31,3.0
137,31,3.0
57,28,2.0
47,30,2.0
125,12,3.0
20,2,1.0
54,2,2.0
89,2,1.0
1,22,1.0
75,22,2.0
71,6,1.0
28,1,2.0
51,1,3.0
227,8,1.0
