N° TM,Langue,Individuel/groupe/ indifférent,Nombre minimal travaux,Nombre maximal travaux,Unnamed: 5
1,F,Indifférent,,10.0,
2,F,Indifférent,,6.0,
3,Ang,Individuel,,8.0,
4,F,Indifférent,6.0,6.0,
5,F,indifférent,8.0,10.0,
6,F,Indifférent,,10.0,
7,F/Ang,Indifférent,,12.0,
8,Fra/Ang/All,Indifférent,,8.0,
9,F/all ,Indifférent,,10.0,"8 en français, 2 en allemand"
10,Fra / Esp ,indifférent,10.0,12.0,
11,F,indifférent,,13.0,
12,F,indifférent,,6.0,
13,Français,Individuel,,10.0,
14,All/Fr,Indifférent,,8.0,
15,Français,Indifférent,,5.0,
16,Français,Indifférent,8.0,12.0,
17,F/All,Indifférent,6.0,8.0,
18,F/Ang,Indifférent,,6.0,
19,Français,Indifférent,4.0,5.0,
20,Français / anglais,Indifférent,,5.0,
21,Français,Individuel,,5.0,
22,Fr /Ang,Indifférent,,10.0,
23,Français,Groupe,3.0,4.0,
24,Italien,Indifférent,,5.0,
25,Français,Indifférent,,5.0,
26,Français,Individuel,4.0,5.0,
27,Français / anglais,Indifférent,,2.0,
28,Fr /Angl /All,Individuel,,3.0,
29,Allemand,groupe à 2,,8.0,
30,Français,Individuel,,6.0,
31,Français,Indifférent,,10.0,
32,Angl/ Fr,Indifférent,,5.0,
33,Français,Indifférent,,4.0,
34,Français,Indifférent,,12.0,
35,Français,Indifférent,,,
