Elève,Choix 1,Langue (si choix proposé),Individuel ou en duo,Choix 1 en duo avec Nom Prénom (si case cochée précédemment),Choix 2,Langue (si choix proposé).1,Individuel ou en duo.1,Choix 2 en duo avec Nom Prénom (si case cochée précédemment),Choix 3,Langue (si choix proposé).2,Individuel ou en duo.2,Choix 3 en duo avec Nom Prénom (si case cochée précédemment), 
1,TM35,Allemand,Individuel,,TM35,Allemand,Individuel,,TM22,Allemand,Individuel, ,
2,TM16,Français,Individuel,,TM10,Français,Individuel,,TM07,Français,Individuel, ,
3,0,0,0,,0,0,0,,0,0,0, ,
4,TM33,Français,Individuel,,TM07,Français,Individuel,,TM11,Français,Individuel, ,
5,TM07,Français,Duo,221,TM11,Français,Duo,221.0,TM01,Français,Duo,221,
6,TM09,Français,Individuel,,TM10,Français,Individuel,,TM08,Français,Individuel, ,
7,TM03,Anglais,Individuel,,TM06,Français,Individuel,,TM22,Anglais,Individuel, ,
8,TM10,Français,Duo,176,TM11,Français,Duo,176.0,TM22,Français,Duo,176,
9,TM07,Français,Duo,264,TM10,Français,Duo,264.0,TM11,Français,Duo,264,
10,TM34,Français,Individuel,,TM01,Français,Individuel,,TM30,Français,Individuel, ,
11,TM07,Français,Duo,257,TM23,Français,Duo,257.0,TM15,Français,Duo,257,
12,TM08,Anglais,Individuel,,TM32,Anglais,Individuel,,TM02,Français,Individuel, ,
13,TM05,Français,Individuel,,TM34,Français,Individuel,,TM02,Français,Individuel, ,
14,TM11,0,Duo,86,TM07,Français,Individuel,,TM34,0,Duo,86,
15,0,0,0,,0,0,0,,0,0,0, ,
16,TM34,Français,Individuel,,TM10,Français,Individuel,,TM02,Français,Individuel, ,
17,TM10,Français,Duo,161,TM07,Français,Duo,161.0,TM11,Français,Duo,161,
18,TM31,0,Duo,58,TM13,0,Individuel,,TM08,Français,Individuel, ,
19,TM10,Français,Individuel,,TM11,Français,Individuel,,TM30,Français,Individuel, ,
20,TM08,Français,Individuel,,TM05,0,Individuel,,TM02,0,Individuel, ,
21,TM11,Français,Individuel,,TM10,Français,Individuel,,TM19,Français,Individuel, ,
22,TM35,Français,Duo,231,TM04,Français,Duo,231.0,TM11,Français,Duo,231,
23,TM31,Français,Individuel,,TM01,Français,Individuel,,TM10,Français,Individuel, ,
24,TM07,Français,Duo,159,TM13,Français,Individuel,,TM23,Français,Individuel, ,
25,TM10,Français,Duo,272,TM34,Français,Duo,272.0,TM11,Français,Duo,272,
26,TM12,Français,Individuel,,TM17,Français,Individuel,,TM08,Français,Individuel, ,
27,0,0,0,,0,0,0,,0,0,0, ,
28,TM08,Français,Individuel,,TM01,Français,Individuel,,TM10,Français,Individuel, ,
29,TM09,Allemand,Individuel,,TM17,Allemand,Individuel,,TM14,Allemand,Individuel, ,
30,TM17,Français,Individuel,,TM07,Français,Individuel,,TM34,Français,Individuel, ,
31,TM34,Français,Individuel,,TM15,Français,Individuel,,TM01,Français,Individuel, ,
32,TM34,Français,Individuel,,TM10,Français,Individuel,,TM07,Français,Individuel, ,
33,TM07,Français,Duo,119,TM10,Français,Duo,88.0,TM31,Français,Individuel, ,
34,TM13,Français,Individuel,,TM10,Français,Individuel,,TM11,Français,Individuel, ,
35,TM10,Français,Individuel,,TM11,0,Individuel,,TM30,0,Individuel, ,
36,TM31,0,Individuel,,TM34,0,Individuel,,TM12,0,Individuel, ,
37,TM03,Anglais,Individuel,,TM01,Français,Individuel,,TM11,Français,Individuel, ,
38,TM03,Anglais,Individuel,,TM10,Français,Individuel,,TM07,Français,Individuel, ,
39,TM23,Français,Duo,106,TM17,Français,Duo,106.0,TM18,Français,Duo,106,
40,TM31,0,Individuel,,TM06,0,Individuel,,TM17,Français,Individuel, ,
41,TM10,Français,Individuel,,TM34,Français,Individuel,,TM17,Français,Individuel, ,
42,0,0,0,,0,0,0,,0,0,0, ,
43,0,0,0,,0,0,0,,0,0,0, ,
44,TM07,Français,Duo,279,TM04,Français,Duo,279.0,TM10,Français,Duo,279,
45,TM35,Français,Individuel,,TM10,Français,Individuel,,TM11,Français,Individuel, ,
46,TM07,Français,Duo,212,TM23,Français,Duo,212.0,TM15,Français,Duo,212,
47,TM08,Français,Individuel,,TM30,Français,Individuel,,TM11,Français,Individuel, ,
48,TM04,0,Duo,248 + 183,TM34,Français,Individuel,,TM07,Français,Individuel, ,
49,TM03,Anglais,Individuel,,TM34,Français,Individuel,,TM10,Français,Individuel, ,
50,TM18,Français,Individuel,,TM08,Français,Individuel,,TM07,Français,Individuel, ,
51,TM01,0,Individuel,,TM11,Français,Individuel,,TM10,Français,Individuel, ,
52,TM10,Français,Individuel,,TM30,Français,Individuel,,TM02,Français,Individuel, ,
53,TM07,Anglais,Individuel,,TM10,Français,Individuel,,TM11,Français,Individuel, ,
54,TM22,Français,Individuel,,TM02,0,Individuel,,TM11,0,Individuel, ,
55,TM31,Français,Individuel,,TM10,Français,Individuel,,TM17,Français,Individuel, ,
56,TM35,Anglais,Individuel,,TM11,Français,Individuel,,TM22,Anglais,Individuel, ,
57,TM35,Allemand,Individuel,,TM28,Allemand,Individuel,,TM08,Allemand,Individuel, ,
58,TM31,Français,Duo,18,TM08,Français,Individuel,,TM19,Français,Individuel, ,
59,TM35,Français,Individuel,,TM16,Français,Individuel,,TM21,Français,Individuel, ,
60,TM07,Français,Duo,115,TM10,Français,Duo,115.0,TM11,Français,Duo,115,
61,0,0,0,,0,0,0,,0,0,0, ,
62,TM19,Français,Individuel,,TM10,Français,Individuel,,TM11,Français,Individuel, ,
63,TM07,Français,Individuel,,TM11,Français,Individuel,,TM04,Français,Individuel, ,
64,TM34,Français,Individuel,,0,0,0,,0,0,0, ,
65,TM04,Français,Individuel,,TM15,Français,Individuel,,TM02,Français,Individuel, ,
66,TM34,Français,Individuel,,TM10,Français,Individuel,,TM11,Français,Individuel, ,
67,TM10,Français,Individuel,,TM11,Français,Individuel,,TM34,Français,Individuel, ,
68,TM19,Français,Individuel,,0,0,0,,0,0,0, ,
69,TM13,Français,Individuel,,0,0,0,,0,0,0, ,
70,TM24,0,Individuel,,0,0,0,,0,0,0, ,
71,TM07,Français,Duo,147,TM11,Français,Duo,147.0,TM06,Français,Individuel, ,
72,TM18,Français,Individuel,,TM08,Français,Individuel,,TM02,0,Individuel, ,
73,TM08,Français,Duo,102,TM33,0,Individuel,,TM02,0,Individuel, ,
74,TM29,Allemand,Individuel,,TM09,Allemand,Individuel,,TM28,Allemand,Individuel, ,
75,TM04,Français,Duo,251,TM22,Français,Individuel,,TM11,Français,Individuel, ,
76,TM10,Espagnol,Individuel,,TM07,Français,Individuel,,TM11,Français,Individuel, ,
77,TM34,Français,Individuel,,TM17,Français,Individuel,,TM02,Français,Individuel, ,
78,TM11,Français,Individuel,,TM01,Français,Individuel,,TM04,Français,Individuel, ,
79,TM35,Anglais,Individuel,,TM03,Anglais,Individuel,,TM08,Français,Individuel, ,
80,0,0,0,,0,0,0,,0,0,0, ,
81,TM34,Français,Individuel,,0,0,0,,TM11,Français,Individuel, ,
82,TM01,0,Individuel,,0,0,0,,TM10,Français,Individuel, ,
83,TM06,0,Individuel,,0,0,0,,TM12,0,Individuel, ,
84,TM10,Français,Individuel,,0,0,0,,TM34,Français,Individuel, ,
85,TM34,Français,Duo,153,TM04,Français,Duo,153.0,TM01,Français,Individuel, ,
