Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
4641,2.0675675675675675,0.7901729190628471,"[29, 17, 14, 5]",4,8,6,"['63 non attribué', '116 non attribué', '143 non attribué']","[(32, 'Pas assez : 1<3.0')]","[(7, 'Trop nombreux : 18>12')]"
4642,2.099099099099099,0.8122919359626525,"[17, 14, 5, 26]",7,6,9,"['67 non attribué', '174 non attribué']",[],"[(20, 'Trop nombreux : 13>8'), (27, 'Trop nombreux : 7>5'), (19, 'Trop nombreux : 3>2')]"
4643,2.108108108108108,0.8111368632260447,"[8, 5, 29, 26, 17, 14]",6,8,2,"['4 non attribué', '35 non attribué']","[(3, 'Pas assez : 1<3.0')]","[(27, 'Trop nombreux : 10>5'), (2, 'Trop nombreux : 8>6')]"
4644,2.1531531531531534,0.7269622930613382,"[14, 5, 26, 17]",2,8,9,['73 non attribué'],"[(1, 'Pas assez : 2<3.0')]","[(20, 'Trop nombreux : 12>8'), (27, 'Trop nombreux : 7>5')]"
4645,2.13963963963964,0.809086326687362,"[14, 17, 5]",4,8,4,"['50 non attribué', '24 non attribué', '63 non attribué', '67 non attribué', '102 non attribué']","[(8, 'Pas assez : 2<4.0'), (3, 'Pas assez : 2<3.0')]","[(27, 'Trop nombreux : 7>5')]"
4646,2.09009009009009,0.8077626723447155,"[17, 14, 29, 5]",6,8,5,"['143 non attribué', '191 non attribué', '73 non attribué']","[(15, 'Pas assez : 2<6.0')]","[(20, 'Trop nombreux : 20>8')]"
4647,2.0495495495495497,0.768305872568553,"[3, 17, 14, 5]",2,7,0,[],"[(1, 'Pas assez : 1<3.0')]","[(27, 'Trop nombreux : 8>5'), (7, 'Trop nombreux : 17>12')]"
4648,2.0675675675675675,0.8071694761865497,"[5, 14, 17]",2,7,2,"['51 non attribué', '63 non attribué', '157 non attribué']","[(3, 'Pas assez : 1<3.0'), (1, 'Pas assez : 2<3.0')]","[(7, 'Trop nombreux : 13>12'), (19, 'Trop nombreux : 3>2'), (27, 'Trop nombreux : 8>5')]"
4649,2.036036036036036,0.8230604836714619,"[17, 5, 14]",9,8,3,"['51 non attribué', '67 non attribué', '161 non attribué', '186 non attribué']","[(3, 'Pas assez : 2<3.0')]","[(27, 'Trop nombreux : 7>5'), (2, 'Trop nombreux : 8>6')]"
4650,1.981981981981982,0.8013786986677438,"[5, 29, 14]",6,8,4,"['67 non attribué', '43 non attribué']","[(3, 'Pas assez : 2<3.0'), (32, 'Pas assez : 1<3.0')]","[(7, 'Trop nombreux : 15>12')]"
