Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
0,2.171171171171171,0.7654753218134529,"[17, 14, 5]",4,6,6,1,0,1
1,2.0315315315315314,0.9044367244832687,"[5, 26, 14, 17]",5,7,7,11,1,0
2,2.1171171171171173,0.8795179545497418,"[5, 14, 26]",4,9,2,8,1,3
3,2.184684684684685,0.7412473525638603,"[5, 28, 14]",1,8,8,2,2,3
4,2.09009009009009,0.840701598290031,"[3, 5, 14, 26]",3,7,0,6,1,1
5,2.1396396396396398,0.809086326687362,"[14, 28, 5, 17]",9,7,9,5,0,1
6,2.1396396396396398,0.8365820657955377,"[14, 5, 32]",6,7,9,7,1,1
7,2.130630630630631,0.7821877652156126,"[5, 14]",9,6,7,3,1,2
8,2.1126126126126126,0.7792114725382481,"[14, 5, 17]",9,6,6,2,0,0
9,2.1126126126126126,0.7964419879703688,"[14, 5, 17, 26]",9,6,2,4,1,1
10,2.0675675675675675,0.7844255657897979,"[17, 14, 5]",8,8,9,3,0,2
11,2.1036036036036037,0.7804660317876017,"[5, 14]",8,6,9,2,1,1
12,2.1486486486486487,0.8186032541826025,"[17, 26, 5, 14]",8,6,7,3,0,1
13,2.0495495495495497,0.779995808536583,"[5, 14, 17, 28]",9,7,7,4,0,2
14,2.1621621621621623,0.7674431963066027,"[14, 17, 5]",7,7,8,1,1,2
15,2.144144144144144,0.7884556971499849,"[14, 17, 5, 26]",8,8,7,5,0,1
16,2.2117117117117115,0.7932108686375008,"[14, 26, 17, 5]",7,7,6,2,1,1
17,2.1126126126126126,0.8352653808771113,"[14, 5, 26, 17]",9,7,5,7,2,1
18,2.1396396396396398,0.7327848423711557,"[14, 5, 17]",8,8,6,1,1,2
19,2.1936936936936937,0.8419734714148572,"[5, 17, 14, 26]",9,6,7,5,0,2
20,2.0765765765765765,0.8606484932602412,"[3, 5, 14, 17]",9,7,0,5,0,1
21,2.09009009009009,0.8188895422123721,"[14, 26, 5, 17]",5,7,7,6,0,1
22,2.054054054054054,0.8053872662568292,"[5, 14, 17]",7,7,9,4,1,1
23,2.1396396396396398,0.7863978566920337,"[17, 14, 29, 5]",7,7,7,0,0,2
24,2.1396396396396398,0.8034742748070984,"[5, 17, 14]",9,8,4,2,1,2
25,2.144144144144144,0.7826957343774225,"[5, 17, 14]",9,8,6,3,1,2
26,2.0585585585585586,0.813457896850872,"[14, 5]",9,7,9,1,0,1
27,2.063063063063063,0.7584131955540957,"[14, 5]",8,7,2,1,1,1
28,2.1621621621621623,0.8020397135374479,"[5, 17, 14, 29]",5,7,7,3,0,2
29,2.108108108108108,0.7885073974678759,"[5, 17, 29, 14]",9,6,8,3,0,1
30,2.0315315315315314,0.8368743811173183,"[17, 5, 29, 14]",1,8,6,6,2,3
31,2.0,0.8183417732943565,"[14, 5, 17]",8,6,5,2,0,1
32,2.2162162162162162,0.7833725142136639,"[5, 17, 14, 29]",6,7,8,3,0,1
33,2.184684684684685,0.788572018098652,"[14, 26, 5, 17]",9,8,9,2,1,1
34,2.0855855855855854,0.8166089076336229,"[14, 5]",4,7,9,6,0,1
35,2.1171171171171173,0.8319278025011886,"[5, 14]",6,8,7,5,0,1
36,2.1666666666666665,0.8151099454845049,"[5, 14, 26]",8,6,7,4,0,1
37,2.0765765765765765,0.88654650060186,"[5, 14]",5,6,6,8,0,1
38,2.1036036036036037,0.7862423293933886,"[14, 5, 17, 26, 28]",9,8,5,3,0,1
39,2.1036036036036037,0.8033220535980014,"[5, 14, 17]",9,6,7,4,0,2
40,2.09009009009009,0.8243966618688144,"[5, 14, 28, 17]",8,6,9,3,0,1
41,2.1981981981981984,0.7995453438797676,"[5, 14, 26, 17]",8,7,4,2,2,2
42,2.1531531531531534,0.7751595742672911,"[5, 14, 17]",9,7,9,1,0,1
43,2.1396396396396398,0.7630350542322416,"[14, 5, 17]",8,7,7,2,1,2
44,2.1621621621621623,0.8352043729681784,"[14, 5, 17, 29, 26]",9,8,6,3,1,1
45,2.054054054054054,0.8275552813385176,"[5, 14, 17]",6,7,5,4,0,0
46,2.1171171171171173,0.7458935998114042,"[5, 17, 14, 1, 26]",0,7,4,2,1,1
47,2.0405405405405403,0.7746992852145429,"[1, 5, 14]",0,8,2,3,1,2
48,2.0495495495495497,0.8359971285185128,"[5, 17, 14, 26]",5,8,5,6,1,2
49,2.0855855855855854,0.7998129698620859,"[5, 14]",9,7,7,0,0,2
50,2.1531531531531534,0.7751595742672911,"[17, 5, 10, 26, 14]",9,7,6,2,1,1
51,2.1036036036036037,0.7804660317876017,"[5, 29, 14]",9,6,6,1,0,0
52,2.126126126126126,0.8306037396108408,"[14, 5, 26, 17]",9,7,7,5,0,1
53,2.1576576576576576,0.7944433207999924,"[5, 14, 17]",8,8,6,3,1,2
54,2.175675675675676,0.7732772376017416,"[14, 5, 17]",7,7,9,1,0,1
55,2.0315315315315314,0.8037786307414235,"[14, 5, 26]",9,8,9,1,0,2
56,2.108108108108108,0.8166962621684045,"[5, 14]",4,8,9,2,0,1
57,2.099099099099099,0.8178434831834329,"[5, 17, 14]",9,7,9,4,0,1
58,2.1531531531531534,0.7809751208162166,"[17, 14, 5, 26]",8,8,4,1,1,1
59,2.1981981981981984,0.8218709460386346,"[5, 14, 29]",9,7,9,3,0,1
60,2.1576576576576576,0.8441493669751962,"[5, 14]",9,8,9,6,0,1
61,2.22972972972973,0.7589102206477039,"[5, 14, 26]",6,8,9,2,0,2
62,2.1486486486486487,0.7789498517034031,"[15, 5, 17, 14]",6,8,2,0,1,2
63,2.135135135135135,0.7726839453446801,"[5, 29, 14]",9,8,2,1,1,2
64,2.175675675675676,0.7674033570667542,"[5, 14, 29]",9,8,9,1,0,1
65,2.144144144144144,0.8221684917960583,"[14, 5, 17]",6,7,5,7,1,1
66,2.1126126126126126,0.81885220597176,"[5, 14, 17]",9,8,9,5,0,1
67,2.0720720720720722,0.8424453923703329,"[5, 14]",8,7,7,6,0,2
68,2.126126126126126,0.8360336990882422,"[5, 14, 26]",9,6,9,4,0,1
69,2.126126126126126,0.8196359098674247,"[5, 14, 28, 17, 26]",9,7,9,3,0,2
70,2.054054054054054,0.8544569108208755,"[5, 14]",6,9,5,7,0,3
71,2.1171171171171173,0.7756327294653673,"[14, 17, 5, 26]",7,9,9,2,0,1
72,2.135135135135135,0.8237040992943556,"[14, 5, 17]",9,8,7,5,0,2
73,2.1036036036036037,0.8033220535980014,"[5, 14, 17]",7,7,7,5,0,1
74,2.0765765765765765,0.8500683980950068,"[17, 14, 1, 5]",0,7,7,5,1,3
75,2.144144144144144,0.8166463464355603,"[5, 14, 17]",4,8,9,5,0,2
76,2.099099099099099,0.7839447177267498,"[5, 14, 32]",8,7,6,1,0,1
77,2.0675675675675675,0.8238154432603442,"[14, 29, 5]",9,8,7,5,1,1
78,2.1936936936936937,0.7863978566920337,"[14, 5]",9,8,9,1,1,0
79,2.045045045045045,0.817095478255875,"[3, 14, 5]",8,6,0,1,1,1
80,2.0855855855855854,0.7710070803704269,"[14, 5]",9,8,3,2,1,0
81,2.2072072072072073,0.7742123963738583,"[5, 26, 14, 17]",3,8,9,3,1,2
82,2.1126126126126126,0.784997001708211,"[14, 17, 5, 28, 26]",4,8,9,6,0,2
83,2.1396396396396398,0.797822747558088,"[14, 26, 5]",7,7,9,2,0,1
84,2.1486486486486487,0.7613235515874873,"[5, 14]",1,8,6,0,1,1
85,2.09009009009009,0.8188895422123721,"[5, 14, 17]",7,7,7,4,0,1
86,2.130630630630631,0.8049949037575447,"[17, 5, 14]",6,8,7,4,1,1
87,2.036036036036036,0.8007680467893785,"[5, 14, 29]",9,9,9,2,0,2
88,2.081081081081081,0.7974522228289,"[14, 5]",8,8,9,1,0,1
89,2.1981981981981984,0.7938658470825908,"[14, 17, 5]",9,6,9,2,0,1
90,2.1981981981981984,0.7823831770001496,"[14, 5]",8,8,8,4,0,1
