Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
0,1.9639639639639639,0.8339832775858357,"[17, 14, 5]",9,0,9,2,0,6
1,2.0495495495495497,0.8359971285185128,"[14, 5, 17]",9,19,8,4,0,5
2,2.054054054054054,0.7940712191846122,"[5, 14, 17]",9,16,8,1,0,7
3,2.0,0.8238525545716346,"[14, 5, 17]",9,13,8,2,0,8
4,2.1486486486486487,0.813056894689843,"[5, 14, 17]",9,2,6,3,0,8
5,1.936936936936937,0.8485204507146973,"[5, 14]",9,1,9,2,0,6
6,2.09009009009009,0.835301983483672,"[14, 5]",9,14,8,1,0,6
7,2.0,0.9024852563942802,"[14, 17, 5]",9,1,7,8,0,5
8,1.9324324324324325,0.8666429914327388,"[14, 5, 17]",9,0,9,5,0,6
9,1.8693693693693694,0.8216849252253488,"[5, 14]",9,0,6,2,0,5
10,2.0495495495495497,0.8305669299554026,"[5, 14]",9,0,8,4,0,7
11,2.081081081081081,0.7685578565836623,"[5, 17, 14]",9,12,7,0,0,9
12,2.1036036036036037,0.8255455268000272,"[5, 17, 14]",9,0,6,2,0,8
13,2.1981981981981984,0.8382250134715669,"[14, 5, 17]",9,13,8,4,0,6
14,2.1936936936936937,0.7978227475580879,"[14, 5]",9,4,9,2,1,5
15,2.126126126126126,0.82513804814701,"[14, 5]",9,2,6,1,0,7
16,2.0135135135135136,0.8639576919512418,"[5, 14]",9,2,7,3,0,6
17,1.972972972972973,0.845102574399809,"[5, 14]",9,21,7,3,0,5
18,2.1126126126126126,0.8513621895284956,"[14, 5]",9,8,6,3,0,8
19,2.189189189189189,0.7960708205780501,"[14, 17, 5]",9,10,6,1,0,7
20,2.045045045045045,0.8443304384922279,"[5, 17, 14]",9,11,4,4,1,6
21,2.099099099099099,0.8396827127005977,"[17, 14, 5]",7,12,9,4,0,5
22,2.0225225225225225,0.8425542596687264,"[5, 14]",9,4,6,4,0,7
23,2.0225225225225225,0.8532275358878357,"[5, 14]",9,0,9,3,0,5
24,2.0585585585585586,0.7735407769855778,"[5, 14]",9,3,8,2,0,8
25,2.1981981981981984,0.8273582209044014,"[17, 5, 14]",9,14,8,3,0,6
26,1.9954954954954955,0.8265818387665632,"[14, 17, 5]",9,6,9,1,0,7
27,2.0315315315315314,0.8093885723138262,"[5, 14, 17]",9,12,8,2,1,9
28,2.0495495495495497,0.8195986076270692,"[14, 17, 5]",9,13,4,2,1,8
29,2.1036036036036037,0.7976694478549707,"[5, 14]",9,14,8,0,0,7
30,1.9414414414414414,0.796595523890309,"[17, 5, 14]",9,5,8,0,0,8
31,2.135135135135135,0.8717433148554857,"[17, 14, 5]",9,4,8,6,0,7
32,2.130630630630631,0.81615950805399,"[14, 5]",9,9,4,3,1,9
33,2.0,0.8183417732943565,"[14, 5]",9,9,6,0,0,7
34,1.945945945945946,0.7883522863426479,"[14, 5, 17]",9,3,7,1,0,7
35,1.9774774774774775,0.8317440309221363,"[14, 5, 17]",9,3,7,3,0,5
36,2.081081081081081,0.8523073302813456,"[5, 14]",9,0,6,5,0,5
37,2.0585585585585586,0.7908948444176505,"[5, 14]",9,3,7,1,0,6
38,2.1126126126126126,0.8021032439517055,"[5, 14]",9,20,9,0,0,6
39,1.9954954954954955,0.8155599234068583,"[14, 5]",9,2,6,1,0,7
40,2.054054054054054,0.8856609142236606,"[14, 5]",9,1,6,4,0,7
41,1.9684684684684686,0.8368743811173183,"[14, 5, 17]",9,1,7,2,0,7
42,1.972972972972973,0.8397312590951516,"[14, 5]",9,7,8,2,0,6
43,2.1936936936936937,0.8201952398933811,"[5, 14, 17]",9,7,9,4,0,5
44,2.0945945945945947,0.793108077841898,"[14, 17, 5]",7,0,8,1,0,5
45,2.09009009009009,0.835301983483672,"[14, 5, 17]",9,0,8,3,0,6
46,2.0585585585585586,0.8299777534464475,"[14, 5, 17]",9,2,8,1,0,7
47,1.945945945945946,0.788352286342648,"[17, 14, 5]",9,8,9,2,0,5
48,2.009009009009009,0.8071568502552311,"[5, 14, 17]",9,11,7,3,0,8
49,1.9189189189189189,0.7685578565836623,"[14, 5]",9,3,6,2,0,4
50,2.081081081081081,0.7974522228289,"[14, 5, 17]",9,7,6,1,0,8
51,2.1486486486486487,0.8074724393111101,"[5, 14]",9,17,8,2,0,6
52,2.018018018018018,0.8236546082558097,"[5, 14]",9,1,6,2,0,5
53,2.144144144144144,0.8221684917960584,"[14, 5, 17]",9,6,8,3,0,6
54,2.0945945945945947,0.7816142754752871,"[14, 17, 5]",9,10,8,0,0,7
55,2.0,0.8183417732943565,"[5, 14]",9,12,6,3,0,9
56,2.027027027027027,0.8343253644387617,"[5, 17, 14]",9,0,8,1,0,6
57,2.0315315315315314,0.8149598976316993,"[5, 14]",9,7,8,2,0,6
