Id,Choice,ChoiceWeight
31,10,2.0
126,10,2.0
66,15,1.0
106,15,2.0
128,15,2.0
170,15,3.0
222,15,1.0
231,15,1.0
44,8,1.0
56,8,3.0
75,8,3.0
223,8,1.0
50,13,3.0
2,13,3.0
89,13,3.0
134,13,3.0
73,13,3.0
167,13,1.0
70,13,1.0
194,13,2.0
196,13,2.0
78,13,2.0
228,13,1.0
229,13,3.0
186,13,2.0
124,4,1.0
14,25,2.0
62,20,3.0
154,20,2.0
174,20,2.0
217,20,3.0
12,6,3.0
15,6,1.0
68,6,2.0
76,6,3.0
80,6,1.0
120,6,2.0
176,6,2.0
143,6,2.0
201,6,1.0
41,31,1.0
64,31,2.0
110,31,3.0
141,31,1.0
149,31,2.0
165,31,2.0
160,31,2.0
169,9,2.0
34,11,1.0
109,11,1.0
135,11,3.0
42,2,2.0
43,2,2.0
58,2,3.0
81,2,3.0
105,2,2.0
125,2,3.0
144,2,3.0
159,2,1.0
226,2,2.0
16,21,1.0
23,21,3.0
25,21,2.0
47,21,2.0
57,21,2.0
35,21,2.0
155,21,2.0
156,21,1.0
179,21,1.0
206,21,2.0
9,28,3.0
118,28,3.0
200,28,2.0
162,28,2.0
6,7,3.0
8,7,2.0
39,7,3.0
49,7,1.0
65,7,2.0
72,7,2.0
94,7,3.0
98,7,1.0
99,7,2.0
113,7,1.0
119,7,2.0
127,7,3.0
129,7,3.0
138,7,2.0
145,7,3.0
148,7,1.0
151,7,3.0
163,7,1.0
182,7,2.0
215,7,1.0
216,7,1.0
221,7,2.0
224,7,1.0
21,27,3.0
150,27,3.0
22,27,3.0
45,27,3.0
24,27,3.0
51,27,3.0
30,27,3.0
190,27,3.0
53,27,3.0
213,27,3.0
67,27,2.0
157,27,2.0
87,27,3.0
79,27,3.0
92,27,2.0
93,27,2.0
95,27,3.0
97,27,3.0
102,27,1.0
111,27,1.0
104,27,3.0
4,27,3.0
117,27,1.0
116,27,1.0
123,27,3.0
175,27,3.0
137,27,2.0
136,27,2.0
161,27,3.0
133,27,3.0
172,27,2.0
13,27,2.0
193,27,3.0
185,27,3.0
198,27,3.0
203,27,3.0
212,27,3.0
204,27,2.0
63,27,2.0
225,27,3.0
122,27,3.0
40,19,2.0
153,19,1.0
158,19,1.0
191,19,3.0
210,19,2.0
10,30,1.0
59,30,2.0
60,30,1.0
82,30,1.0
85,30,1.0
91,30,1.0
107,30,1.0
108,30,1.0
132,30,2.0
168,30,1.0
199,30,1.0
209,30,3.0
219,30,2.0
227,30,3.0
230,30,2.0
1,18,1.0
20,18,2.0
61,18,3.0
173,18,2.0
177,18,3.0
218,18,3.0
5,16,3.0
18,16,2.0
27,16,3.0
46,16,2.0
69,16,3.0
77,16,3.0
83,16,2.0
86,16,2.0
90,16,3.0
96,16,2.0
100,16,1.0
101,16,1.0
103,16,2.0
112,16,1.0
114,16,3.0
121,16,2.0
131,16,2.0
140,16,2.0
181,16,2.0
139,16,2.0
184,16,2.0
192,16,1.0
183,3,3.0
147,3,3.0
188,3,2.0
195,3,2.0
211,3,3.0
208,3,3.0
28,32,2.0
55,32,3.0
197,32,3.0
205,32,1.0
207,32,1.0
33,29,3.0
142,29,2.0
164,29,2.0
220,29,1.0
11,24,2.0
71,24,3.0
88,24,3.0
115,24,3.0
166,24,3.0
171,24,3.0
180,24,3.0
187,24,3.0
202,24,1.0
214,24,3.0
84,26,1.0
189,26,3.0
26,1,2.0
37,1,3.0
52,1,2.0
130,1,3.0
146,1,1.0
152,1,1.0
54,1,2.0
178,1,3.0
7,1,3.0
