Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
0,2.1036036036036037,0.7804660317876017,"[17, 14, 5]",6,8,6,1,0,1
1,2.0,0.8015821459161773,"[17, 5, 14, 29, 26]",3,8,9,2,1,1
2,2.045045045045045,0.7946357187816142,"[29, 14, 5]",5,7,4,2,2,1
3,2.0945945945945947,0.793108077841898,"[14, 5, 29]",2,8,9,1,1,1
4,2.054054054054054,0.7940712191846122,"[5, 14, 17]",6,7,5,1,0,1
5,2.0720720720720722,0.8095774185289925,"[14, 29, 5]",7,11,2,1,1,2
6,2.099099099099099,0.806702185118088,"[14, 17, 5, 29]",5,7,7,1,1,2
7,2.081081081081081,0.7261768122343761,"[32, 17, 5, 14]",9,7,3,0,1,1
8,2.0765765765765765,0.7660741968667064,"[14, 17, 5]",2,8,5,2,1,1
9,2.1126126126126126,0.755626510858771,"[14, 5, 26, 17]",9,8,5,1,1,3
10,2.081081081081081,0.7685578565836622,"[3, 5, 14]",5,8,0,2,2,1
11,2.0585585585585586,0.796595523890309,"[14, 17, 26, 5]",6,6,9,2,0,0
12,2.126126126126126,0.8029032964667867,"[14, 5, 17, 29]",7,8,5,4,0,1
13,2.0495495495495497,0.7857755627978601,"[29, 14, 5, 17]",2,7,2,2,3,1
14,2.0225225225225225,0.7984356520350697,"[17, 29, 14, 5]",4,6,2,1,1,2
15,2.036036036036036,0.7235899432243009,"[5, 17, 14]",6,9,5,1,0,2
16,2.1126126126126126,0.8077248217762688,"[14, 17, 26, 5]",4,8,7,2,0,2
17,2.0855855855855854,0.7826566715314205,"[17, 5, 14]",4,8,2,3,1,1
18,2.1396396396396398,0.7389339611660676,"[5, 17, 26, 14]",6,8,9,2,0,2
19,2.0585585585585586,0.8078762134098192,"[5, 14]",9,8,5,4,1,1
20,2.0720720720720722,0.7926324970155457,"[5, 26, 14, 17]",6,8,3,2,1,1
21,2.0,0.778675055224552,"[14, 5, 17]",6,8,3,2,1,2
22,2.027027027027027,0.8557440673288346,"[29, 26, 5, 17, 14]",7,6,7,5,0,1
23,2.0405405405405403,0.7746992852145428,"[29, 14, 5, 17]",4,6,2,1,2,1
24,2.018018018018018,0.8399739489817525,"[14, 5]",3,7,7,7,1,1
25,2.099099099099099,0.754533267439808,"[5, 17, 14, 29]",5,8,5,0,0,1
26,2.1621621621621623,0.7674431963066027,"[5, 17, 29, 14, 26]",5,8,5,1,1,2
27,2.1036036036036037,0.8200461225223118,"[29, 17, 5, 14]",9,9,9,3,0,3
28,2.018018018018018,0.7726311862073173,"[17, 5, 14]",5,8,7,1,1,1
29,2.0,0.778675055224552,"[14, 5, 17]",5,7,3,0,1,1
30,1.972972972972973,0.7723673364621626,"[14, 5, 29]",4,8,5,1,0,1
31,2.0720720720720722,0.8261748712343143,"[14, 5, 26, 17]",4,8,2,4,1,1
32,2.0315315315315314,0.7692603231043579,"[3, 14, 5]",5,7,0,1,0,1
33,2.0585585585585586,0.8245079123091277,"[17, 5, 14]",7,8,7,5,1,2
34,2.0855855855855854,0.8166089076336227,"[17, 29, 14, 5]",9,7,9,4,1,1
35,2.0720720720720722,0.7869031081203346,"[5, 29, 14, 17, 26]",9,8,4,3,1,1
36,2.081081081081081,0.7917577116385401,"[32, 29, 14, 17, 5]",6,8,4,2,1,1
37,2.063063063063063,0.8214244253142174,"[29, 5, 14]",1,7,4,1,2,2
38,2.0765765765765765,0.8285029791239055,"[5, 17, 26, 14]",3,7,6,7,1,2
39,2.0945945945945947,0.7699489126659286,"[14, 17, 26, 5]",5,8,9,1,0,1
40,2.0765765765765765,0.7660741968667064,"[17, 5, 29, 14]",9,10,2,0,2,1
41,2.144144144144144,0.7651557301266483,"[14, 17, 5, 29]",4,7,2,0,1,2
42,2.036036036036036,0.7836326585153965,"[14, 5, 17, 26]",1,8,2,2,2,1
43,2.126126126126126,0.8085193116017013,"[5, 17, 14]",6,8,2,0,1,3
44,2.099099099099099,0.7954048453227989,"[29, 5, 17, 14]",9,7,9,2,1,1
45,2.063063063063063,0.8485204507146973,"[14, 26, 5]",4,8,7,6,1,1
46,2.018018018018018,0.8070053236714507,"[14, 26, 17, 5]",4,7,5,4,0,3
47,2.2117117117117115,0.7700547948698419,"[5, 29, 17, 26, 14]",1,8,6,1,1,2
48,2.0765765765765765,0.7835936423759049,"[32, 5, 17, 14]",5,8,7,2,0,2
49,2.0405405405405403,0.8364846046545872,"[32, 14, 5, 17]",4,8,7,6,0,1
50,2.0720720720720722,0.7753173247504087,"[29, 14, 5, 17]",3,7,7,2,1,1
51,2.027027027027027,0.7839967155192474,"[5, 14, 17, 29]",6,8,2,0,1,1
52,2.0135135135135136,0.7872268166815277,"[5, 17, 14]",4,7,2,1,1,1
53,2.09009009009009,0.8077626723447155,"[14, 17, 29, 5]",6,10,5,3,0,3
54,2.0585585585585586,0.7497774594083413,"[5, 17, 14]",5,6,5,1,0,2
55,2.09009009009009,0.7675494241701204,"[5, 26, 14]",4,9,5,0,0,2
56,2.054054054054054,0.7997492575132488,"[29, 14, 26, 5]",3,6,2,1,1,1
57,2.081081081081081,0.7860219463751896,"[17, 14, 5]",1,6,9,2,1,1
58,2.1396396396396398,0.7748045182486432,"[26, 29, 17, 14, 5]",3,7,2,2,2,1
