Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux,Value
0,1.9774774774774773,0.8152599657211406,"[28, 29, 5, 14, 17]",9,8,9,3,1,1,-4.056801071487955e-06
1,2.1171171171171173,0.7519355264883228,"[29, 17, 5, 14]",9,6,9,1,0,1,6.910542875418e-06
2,2.0855855855855854,0.7884169196867212,"[17, 5, 29, 14]",5,7,2,3,1,1,2.369131997725864e-06
3,2.009009009009009,0.7786227020423082,"[14, 5, 17]",6,8,3,1,2,1,4.991195159173686e-07
4,2.171171171171171,0.7414535543665464,"[17, 14, 5, 26]",9,8,4,0,1,2,9.849871771511757e-06
5,2.0945945945945947,0.7758035201461139,"[14, 17, 5]",9,8,7,0,0,1,3.870554659191435e-06
6,2.027027027027027,0.7782037497913458,"[14, 5, 17, 26]",8,7,9,1,0,1,1.192645876631486e-06
7,2.09009009009009,0.8188895422123721,"[5, 17, 14]",7,7,6,1,1,2,-3.038792935289932e-07
8,1.990990990990991,0.7669118362786904,"[14, 5, 17]",4,8,2,1,1,1,9.347366452038896e-07
9,2.0855855855855854,0.7826566715314206,"[28, 17, 14, 5]",4,8,9,1,0,1,2.905343398220707e-06
10,1.963963963963964,0.8063989326099908,"[17, 29, 14, 5]",4,6,9,1,0,1,-3.7228381592224895e-06
11,2.054054054054054,0.7709409874398377,"[29, 5, 14, 17, 26]",4,8,2,1,1,2,2.85051393449731e-06
12,2.130630630630631,0.7527076665443988,"[26, 17, 5, 14]",1,7,6,0,1,1,7.3295608342150304e-06
13,2.09009009009009,0.761631370669714,"[14, 29, 5, 17]",9,8,7,0,0,1,5.026183496285104e-06
14,1.990990990990991,0.7786227020423082,"[5, 14, 17]",2,7,5,1,1,1,-1.5540731436463782e-07
15,2.036036036036036,0.7542090391354558,"[14, 17, 5, 26]",6,8,2,1,1,1,3.753534833308205e-06
16,1.990990990990991,0.7786227020423082,"[5, 17, 14]",6,9,7,2,2,1,-1.5540731436463782e-07
17,2.0765765765765765,0.748144607571291,"[17, 14, 29, 5, 26]",2,8,9,0,1,1,5.790747502099671e-06
18,2.0135135135135136,0.7814577961392896,"[17, 14, 5]",9,7,5,3,0,3,3.98837285183303e-07
19,2.0315315315315314,0.798129258629767,"[8, 5, 14, 26, 17]",9,7,8,3,0,1,-4.985530952698143e-07
20,2.072072072072072,0.7926324970155457,"[14, 29, 5, 17]",8,7,5,3,0,2,1.4858161732598125e-06
21,2.0765765765765765,0.7893470530302839,"[14, 29, 5, 17, 26]",9,7,5,0,1,1,1.9552841005708723e-06
22,2.0675675675675675,0.7958787695220654,"[17, 14, 26, 5]",7,7,5,1,0,1,1.0199946502198112e-06
23,2.126126126126126,0.7683456650123669,"[17, 14, 5, 26]",9,8,5,0,0,1,5.710215269641778e-06
24,2.058558558558558,0.7676689129460662,"[14, 5, 17, 26]",3,7,7,1,0,1,3.318737319288196e-06
25,2.009009009009009,0.7727894528136424,"[5, 14, 17, 26]",1,7,5,3,2,1,1.0421264583283682e-06
26,2.0045045045045047,0.7873303753121178,"[14, 5, 29, 17]",7,7,3,3,1,3,-4.750942279078637e-07
27,2.0045045045045047,0.7930566774479464,"[17, 29, 5, 14, 26]",7,6,7,1,1,0,-1.0081456529725536e-06
28,2.1171171171171173,0.7697768230222573,"[14, 5, 26, 17]",6,8,7,1,0,1,5.249727864817887e-06
29,2.0135135135135136,0.7697900620530009,"[14, 5, 17, 26]",1,6,7,2,2,2,1.4849661925383042e-06
30,2.0765765765765765,0.7950588304542311,"[3, 14, 17, 29, 5]",7,8,0,2,0,1,1.4235847554669245e-06
31,2.0945945945945947,0.7758035201461139,"[14, 29, 5, 17]",4,8,4,2,2,1,3.870554659191435e-06
32,2.081081081081081,0.8198348264848097,"[5, 14, 17]",4,6,9,3,1,0,-7.191375640866048e-07
33,2.108108108108108,0.7350482651232215,"[5, 14, 17]",6,8,4,0,1,1,8.155285009859238e-06
34,2.0225225225225225,0.7517321999192385,"[5, 14, 17, 26]",9,8,3,0,2,1,3.4932043302314205e-06
35,2.0135135135135136,0.769790062053001,"[14, 5, 17, 26]",1,8,9,2,1,1,1.4849661925383042e-06
36,2.108108108108108,0.7885073974678758,"[17, 5, 14]",6,8,6,2,0,0,3.178868117578558e-06
37,2.0495495495495497,0.8359971285185128,"[26, 14, 17, 5]",9,7,5,2,1,1,-3.369079873679327e-06
38,2.072072072072072,0.7753173247504086,"[5, 14, 29, 17]",9,9,7,0,1,1,3.097655198207905e-06
39,2.054054054054054,0.8165465058157807,"[14, 26, 5]",3,7,7,5,1,1,-1.3948238043213026e-06
40,2.018018018018018,0.7842566527683642,"[5, 14, 17, 29]",7,7,7,1,0,1,3.019283367962253e-07
41,2.027027027027027,0.7897471897389845,"[14, 5, 17]",7,7,7,1,1,1,1.1808729270038597e-07
42,2.112612612612613,0.755626510858771,"[14, 5, 29, 26, 17]",8,8,9,1,0,1,6.403323904742992e-06
43,2.027027027027027,0.7782037497913458,"[17, 14, 5, 29]",6,8,5,1,0,1,1.192645876631486e-06
44,2.0765765765765765,0.7777976746020018,"[5, 14, 29, 17]",6,8,9,0,1,1,3.030395487252271e-06
45,2.058558558558558,0.7617517877551316,"[5, 17, 14, 26]",9,8,7,1,0,2,3.86955212795486e-06
46,2.0765765765765765,0.7719581911351323,"[5, 17, 14, 29, 26]",5,9,7,0,0,2,3.5739827639662497e-06
47,2.1171171171171173,0.7638760262677338,"[14, 5, 17]",6,8,2,0,2,3,5.799022687970063e-06
48,2.0,0.7902116103552715,"[14, 5, 17]",7,8,9,1,0,1,-9.06935053556496e-07
49,2.112612612612613,0.7964419879703688,"[5, 14, 17, 26]",7,8,2,3,1,2,2.6038827081452277e-06
50,2.103603603603604,0.7804660317876017,"[3, 29, 17, 14, 5]",9,8,0,1,1,1,3.763793041087116e-06
51,2.099099099099099,0.7896955705886475,"[5, 17, 14]",5,6,5,2,1,2,2.740999750021922e-06
52,2.0045045045045047,0.7987419279094045,"[29, 14, 5]",9,8,5,1,1,2,-1.5373756496519915e-06
53,2.063063063063063,0.8214244253142176,"[29, 14, 17, 26, 5]",8,9,4,4,1,2,-1.521637362123055e-06
54,2.072072072072072,0.8316337484822822,"[28, 14, 5, 17]",9,8,7,4,0,1,-2.144741939203866e-06
55,2.0315315315315314,0.7453605501232251,"[14, 17, 5]",6,6,5,0,0,1,4.413593452541666e-06
56,2.072072072072072,0.7926324970155457,"[5, 29, 14, 17]",7,8,9,2,0,1,1.4858161732598125e-06
57,2.018018018018018,0.8181424936680499,"[5, 17, 14]",5,7,8,3,0,1,-2.85244517557512e-06
58,2.0225225225225225,0.8152599657211406,"[17, 5, 29, 14]",9,7,9,1,0,1,-2.420483995782912e-06
59,2.1171171171171173,0.8373491758699669,"[14, 5, 17]",7,7,7,3,0,1,-1.040463977327089e-06
60,2.0765765765765765,0.7950588304542311,"[29, 14, 5, 17]",9,8,9,3,1,0,1.4235847554669245e-06
61,2.0225225225225225,0.7517321999192387,"[1, 17, 14, 5]",0,6,7,0,1,1,3.493204330231393e-06
62,2.0945945945945947,0.7816142754752871,"[14, 5, 17]",7,7,5,1,0,1,3.3296416344423637e-06
63,2.058558558558558,0.8673012668649833,"[14, 5, 17]",6,7,7,7,1,0,-5.9558638071059966e-06
64,2.027027027027027,0.8123421192596431,"[14, 17, 5]",6,6,7,1,0,1,-1.985235077396787e-06
65,2.0675675675675675,0.7669251247662161,"[14, 25, 5, 17, 29]",6,10,9,0,0,2,3.715238671899316e-06
66,2.063063063063063,0.7990863479500624,"[14, 5, 17, 29]",7,7,7,3,0,4,5.57775091101519e-07
67,2.072072072072072,0.798320768288509,"[5, 17, 14]",9,8,5,3,1,1,9.563049745342018e-07
68,2.099099099099099,0.7896955705886475,"[14, 5, 29, 17]",9,7,2,0,1,2,2.740999750021922e-06
69,2.108108108108108,0.8166962621684045,"[14, 5, 17, 29]",6,7,6,4,0,2,5.548161302485822e-07
70,2.027027027027027,0.8067527161203686,"[17, 5, 26, 14]",2,13,5,3,1,1,-1.4649273398763686e-06
71,2.081081081081081,0.7626476284371552,"[17, 29, 5, 14, 26]",4,6,4,0,1,1,4.60431842752576e-06
72,2.0045045045045047,0.7987419279094043,"[17, 5, 14, 29]",7,7,9,0,0,1,-1.5373756496519782e-06
73,2.0045045045045047,0.7873303753121177,"[8, 28, 5, 17, 14, 26]",9,7,9,2,0,1,-4.750942279078502e-07
74,2.054054054054054,0.7470949813056487,"[14, 5, 17]",4,7,2,0,2,1,5.070296832853196e-06
75,2.171171171171171,0.765475321813453,"[14, 17, 26, 5]",9,8,9,0,0,2,7.613727560742904e-06
76,2.036036036036036,0.7836326585153965,"[28, 26, 17, 5, 29, 14]",8,7,2,3,1,2,1.0145416979469974e-06
77,2.09009009009009,0.755666970981643,"[5, 14, 17]",8,7,5,1,1,2,5.58139900499693e-06
78,2.027027027027027,0.8123421192596431,"[17, 29, 5, 14, 26]",6,7,5,3,0,2,-1.985235077396787e-06
79,2.0315315315315314,0.7809359719041847,"[28, 14, 17, 26, 5]",8,7,9,2,0,1,1.1019398185207783e-06
80,2.072072072072072,0.7926324970155456,"[17, 14, 5]",7,7,5,4,0,0,1.485816173259826e-06
81,2.054054054054054,0.7825915624551699,"[5, 26, 14, 17]",9,7,2,1,1,3,1.7659823349701437e-06
82,2.108108108108108,0.7885073974678759,"[10, 17, 29, 14, 5]",9,7,9,1,0,1,3.1788681175785443e-06
83,2.108108108108108,0.8331519104621986,"[14, 29, 5, 17, 26]",4,8,2,3,2,2,-9.770113153357543e-07
84,2.045045045045045,0.8226146086363,"[5, 14, 17, 26]",8,8,5,4,0,1,-2.286956270935943e-06
85,2.130630630630631,0.7586953308346966,"[17, 5, 14]",9,8,9,2,1,2,6.77217966447512e-06
86,2.103603603603604,0.7628747639732993,"[14, 17, 5, 29]",7,8,2,0,1,1,5.401333316588453e-06
87,1.9954954954954955,0.8210893754172299,"[3, 5, 29, 17, 14]",6,7,0,5,0,2,-3.944923768261797e-06
88,2.0495495495495497,0.825100994654525,"[17, 14, 5]",4,7,9,4,0,1,-2.354777878059246e-06
89,2.058558558558558,0.8078762134098192,"[14, 29, 5]",1,11,9,4,2,2,-4.240897795663849e-07
