Id,Choice,ChoiceWeight
11,23,2
24,23,1
39,23,3
212,23,2
57,28,2
74,28,1
10,30,1
19,30,1
35,30,1
47,30,2
52,30,2
87,30,3
102,25,1
1,22,1
7,22,1
8,22,1
54,22,3
56,22,1
75,22,2
169,22,2
176,22,1
256,22,2
37,3,3
38,3,3
49,3,3
79,3,2
148,3,1
281,3,1
21,19,1
58,19,1
62,19,3
124,19,2
151,19,3
59,21,1
123,21,1
146,21,3
149,21,1
6,9,3
29,9,3
278,9,3
2,16,3
227,16,3
262,16,3
18,31,3
23,31,3
33,31,1
36,31,3
40,31,3
55,31,3
88,31,3
137,31,3
160,31,1
258,31,1
4,7,2
9,7,3
30,7,2
44,7,3
53,7,3
71,7,3
90,7,3
116,7,3
179,7,3
257,7,3
261,7,3
279,7,3
14,34,1
16,34,3
32,34,3
41,34,2
48,34,2
66,34,3
67,34,1
77,34,3
85,34,3
183,34,2
222,34,1
248,34,2
31,15,2
46,15,1
65,15,2
13,2,1
20,2,1
72,2,1
73,2,1
89,2,1
125,2,1
26,17,2
106,17,2
12,8,3
28,8,3
50,8,2
114,33,2
139,33,2
159,33,2
229,33,3
22,4,2
63,4,1
91,4,2
100,4,3
119,4,2
180,4,3
86,5,2
153,5,1
34,13,3
223,13,2
17,10,3
25,10,3
45,10,2
51,10,1
60,10,2
76,10,3
115,10,2
118,10,2
147,10,1
161,10,3
264,10,2
272,10,3
5,1,1
78,1,2
136,1,2
145,1,1
173,1,1
221,1,1
117,11,1
231,11,1
251,11,2
280,11,1
