Id,Choice,ChoiceWeight
9,11,1.0
14,11,3.0
21,11,3.0
35,11,2.0
54,11,1.0
78,11,3.0
86,11,3.0
119,11,1.0
139,11,3.0
176,11,2.0
221,11,2.0
251,11,2.0
264,11,1.0
39,18,1.0
50,18,3.0
72,18,3.0
106,18,1.0
227,18,2.0
262,18,2.0
16,2,1.0
52,2,1.0
73,2,1.0
77,2,1.0
89,2,1.0
125,2,1.0
2,16,3.0
59,16,2.0
281,16,3.0
102,25,1.0
10,34,3.0
25,34,2.0
32,34,3.0
36,34,2.0
48,34,2.0
66,34,3.0
85,34,3.0
88,34,1.0
116,34,1.0
153,34,3.0
180,34,1.0
183,34,2.0
12,32,2.0
123,32,3.0
149,32,2.0
18,13,2.0
24,13,2.0
34,13,3.0
90,13,2.0
159,13,1.0
223,13,2.0
229,13,2.0
5,7,3.0
11,7,3.0
30,7,2.0
44,7,3.0
71,7,3.0
76,7,2.0
91,7,3.0
117,7,3.0
161,7,2.0
257,7,3.0
258,7,3.0
261,7,3.0
23,1,2.0
28,1,2.0
31,1,1.0
37,1,2.0
51,1,3.0
114,1,1.0
124,1,3.0
136,1,2.0
145,1,1.0
173,1,1.0
4,33,3.0
148,33,2.0
74,29,3.0
17,10,3.0
19,10,3.0
33,10,2.0
45,10,2.0
53,10,2.0
60,10,2.0
67,10,3.0
115,10,2.0
118,10,2.0
147,10,1.0
179,10,1.0
272,10,3.0
6,9,3.0
29,9,3.0
278,9,3.0
46,23,2.0
212,23,2.0
1,22,1.0
7,22,1.0
8,22,1.0
56,22,1.0
75,22,2.0
169,22,2.0
256,22,2.0
146,21,3.0
40,31,3.0
55,31,3.0
58,31,3.0
137,31,3.0
151,31,1.0
160,31,1.0
22,4,2.0
63,4,1.0
100,4,3.0
222,4,3.0
231,4,2.0
248,4,3.0
279,4,2.0
280,4,2.0
65,15,2.0
13,5,3.0
20,5,2.0
62,19,3.0
87,19,2.0
26,17,2.0
41,17,1.0
38,3,3.0
49,3,3.0
79,3,2.0
57,28,2.0
47,8,3.0
