Id,Choice,ChoiceWeight
10,30,1
19,30,1
35,30,1
47,30,2
52,30,2
87,30,3
7,6,2
40,6,2
71,6,1
137,6,1
29,14,1
18,13,2
24,13,2
34,13,3
90,13,2
102,13,2
159,13,1
223,13,2
229,13,2
12,2,1
13,2,1
16,2,1
54,2,2
73,2,1
77,2,1
6,8,1
20,8,3
28,8,3
50,8,2
57,8,1
72,8,2
79,8,1
89,8,2
2,16,3
59,16,2
227,16,3
262,16,3
281,16,3
23,1,2
37,1,2
51,1,3
78,1,2
85,1,1
114,1,1
136,1,2
145,1,1
173,1,1
261,1,2
4,33,3
139,33,2
148,33,2
74,28,1
26,17,2
30,17,3
39,17,2
41,17,1
55,17,1
106,17,2
160,17,2
258,17,2
278,9,3
32,10,2
33,10,2
53,10,2
60,10,2
62,10,2
66,10,2
67,10,3
76,10,3
88,10,2
100,10,1
251,10,1
264,10,2
36,31,3
58,31,3
151,31,1
38,3,3
49,3,3
44,7,3
48,7,1
91,7,3
115,7,3
169,7,3
179,7,3
183,7,1
212,7,3
221,7,3
222,7,2
256,7,3
279,7,3
1,22,1
8,22,1
56,22,1
75,22,2
176,22,1
11,23,2
46,23,2
123,23,2
257,23,2
14,34,1
25,34,2
31,34,3
86,34,1
116,34,1
118,34,1
153,34,3
180,34,1
248,34,2
272,34,2
125,12,3
146,12,1
65,15,2
149,21,1
22,4,2
63,4,1
117,4,2
119,4,2
231,4,2
280,4,2
21,19,1
124,19,2
5,11,2
9,11,1
17,11,1
45,11,1
147,11,2
161,11,1
